"","dole"
"1956-01-01",4742
"1956-02-01",6128
"1956-03-01",6494
"1956-04-01",5379
"1956-05-01",6011
"1956-06-01",7003
"1956-07-01",9164
"1956-08-01",10333
"1956-09-01",9614
"1956-10-01",9545
"1956-11-01",10096
"1956-12-01",13277
"1957-01-01",15711
"1957-02-01",13135
"1957-03-01",13077
"1957-04-01",15453
"1957-05-01",15995
"1957-06-01",18071
"1957-07-01",20291
"1957-08-01",20175
"1957-09-01",18975
"1957-10-01",17928
"1957-11-01",19782
"1957-12-01",26055
"1958-01-01",29856
"1958-02-01",26879
"1958-03-01",24485
"1958-04-01",27745
"1958-05-01",27282
"1958-06-01",29418
"1958-07-01",29908
"1958-08-01",29278
"1958-09-01",26002
"1958-10-01",23826
"1958-11-01",22302
"1958-12-01",27565
"1959-01-01",31486
"1959-02-01",28207
"1959-03-01",27669
"1959-04-01",27559
"1959-05-01",27924
"1959-06-01",27528
"1959-07-01",27410
"1959-08-01",24887
"1959-09-01",21904
"1959-10-01",19598
"1959-11-01",19037
"1959-12-01",22469
"1960-01-01",23781
"1960-02-01",20020
"1960-03-01",18177
"1960-04-01",17732
"1960-05-01",16765
"1960-06-01",16310
"1960-07-01",14897
"1960-08-01",12940
"1960-09-01",11465
"1960-10-01",10364
"1960-11-01",11738
"1960-12-01",17633
"1961-01-01",19257
"1961-02-01",20941
"1961-03-01",29718
"1961-04-01",35025
"1961-05-01",45110
"1961-06-01",57154
"1961-07-01",61499
"1961-08-01",62090
"1961-09-01",59561
"1961-10-01",48531
"1961-11-01",47541
"1961-12-01",56756
"1962-01-01",56755
"1962-02-01",49740
"1962-03-01",45870
"1962-04-01",49136
"1962-05-01",47256
"1962-06-01",46324
"1962-07-01",45453
"1962-08-01",42333
"1962-09-01",36851
"1962-10-01",33952
"1962-11-01",33392
"1962-12-01",43153
"1963-01-01",46178
"1963-02-01",40482
"1963-03-01",36394
"1963-04-01",37142
"1963-05-01",36424
"1963-06-01",38188
"1963-07-01",37174
"1963-08-01",31869
"1963-09-01",26575
"1963-10-01",21758
"1963-11-01",20978
"1963-12-01",29555
"1964-01-01",28649
"1964-02-01",24226
"1964-03-01",21955
"1964-04-01",19937
"1964-05-01",18287
"1964-06-01",18129
"1964-07-01",17072
"1964-08-01",14924
"1964-09-01",12491
"1964-10-01",11160
"1964-11-01",10658
"1964-12-01",15451
"1965-01-01",15831
"1965-02-01",13698
"1965-03-01",12111
"1965-04-01",12690
"1965-05-01",12585
"1965-06-01",12855
"1965-07-01",12137
"1965-08-01",10977
"1965-09-01",9993
"1965-10-01",9614
"1965-11-01",10459
"1965-12-01",20509
"1966-01-01",19490
"1966-02-01",17611
"1966-03-01",16206
"1966-04-01",17560
"1966-05-01",18082
"1966-06-01",19482
"1966-07-01",19200
"1966-08-01",18918
"1966-09-01",17375
"1966-10-01",16122
"1966-11-01",17269
"1966-12-01",26261
"1967-01-01",24911
"1967-02-01",21969
"1967-03-01",21956
"1967-04-01",20944
"1967-05-01",22200
"1967-06-01",24002
"1967-07-01",22951
"1967-08-01",20143
"1967-09-01",17187
"1967-10-01",15287
"1967-11-01",17394
"1967-12-01",26321
"1968-01-01",26943
"1968-02-01",23735
"1968-03-01",20744
"1968-04-01",21090
"1968-05-01",21502
"1968-06-01",21275
"1968-07-01",19426
"1968-08-01",16798
"1968-09-01",14209
"1968-10-01",13357
"1968-11-01",14766
"1968-12-01",25092
"1969-01-01",23460
"1969-02-01",19551
"1969-03-01",15898
"1969-04-01",16012
"1969-05-01",16054
"1969-06-01",15910
"1969-07-01",13873
"1969-08-01",11854
"1969-09-01",10138
"1969-10-01",9942
"1969-11-01",11262
"1969-12-01",19601
"1970-01-01",17778
"1970-02-01",13854
"1970-03-01",12681
"1970-04-01",11328
"1970-05-01",11946
"1970-06-01",13043
"1970-07-01",12785
"1970-08-01",11937
"1970-09-01",11383
"1970-10-01",10282
"1970-11-01",11316
"1970-12-01",19652
"1971-01-01",18337
"1971-02-01",16779
"1971-03-01",15504
"1971-04-01",17258
"1971-05-01",18264
"1971-06-01",19184
"1971-07-01",19453
"1971-08-01",18741
"1971-09-01",19087
"1971-10-01",18171
"1971-11-01",20825
"1971-12-01",36441
"1972-01-01",37486
"1972-02-01",37303
"1972-03-01",37639
"1972-04-01",36536
"1972-05-01",35850
"1972-06-01",41581
"1972-07-01",42979
"1972-08-01",42490
"1972-09-01",37992
"1972-10-01",32454
"1972-11-01",34049
"1972-12-01",47598
"1973-01-01",48622
"1973-02-01",39868
"1973-03-01",34511
"1973-04-01",37234
"1973-05-01",36675
"1973-06-01",37945
"1973-07-01",36593
"1973-08-01",31669
"1973-09-01",28682
"1973-10-01",25944
"1973-11-01",28443
"1973-12-01",40232
"1974-01-01",46847
"1974-02-01",38315
"1974-03-01",32600
"1974-04-01",33349
"1974-05-01",30598
"1974-06-01",32009
"1974-07-01",37599
"1974-08-01",45999
"1974-09-01",54945
"1974-10-01",68394
"1974-11-01",85735
"1974-12-01",140772
"1975-01-01",182260
"1975-02-01",184177
"1975-03-01",157547
"1975-04-01",168471
"1975-05-01",159020
"1975-06-01",160748
"1975-07-01",169631
"1975-08-01",170927
"1975-09-01",179898
"1975-10-01",176471
"1975-11-01",184528
"1975-12-01",231311
"1976-01-01",248619
"1976-02-01",215342
"1976-03-01",192024
"1976-04-01",178765
"1976-05-01",182397
"1976-06-01",188423
"1976-07-01",197159
"1976-08-01",198648
"1976-09-01",195864
"1976-10-01",194125
"1976-11-01",192866
"1976-12-01",215655
"1977-01-01",229415
"1977-02-01",245395
"1977-03-01",236383
"1977-04-01",226807
"1977-05-01",239984
"1977-06-01",250309
"1977-07-01",253809
"1977-08-01",254863
"1977-09-01",249551
"1977-10-01",254085
"1977-11-01",238332
"1977-12-01",256223
"1978-01-01",269896
"1978-02-01",298455
"1978-03-01",290356
"1978-04-01",283308
"1978-05-01",272384
"1978-06-01",286091
"1978-07-01",290718
"1978-08-01",285424
"1978-09-01",284642
"1978-10-01",279874
"1978-11-01",278829
"1978-12-01",311279
"1979-01-01",341877
"1979-02-01",357463
"1979-03-01",334400
"1979-04-01",332572
"1979-05-01",318905
"1979-06-01",311232
"1979-07-01",310000
"1979-08-01",303800
"1979-09-01",299566
"1979-10-01",286241
"1979-11-01",282902
"1979-12-01",297782
"1980-01-01",334495
"1980-02-01",334265
"1980-03-01",316776
"1980-04-01",309300
"1980-05-01",308989
"1980-06-01",311232
"1980-07-01",313943
"1980-08-01",303555
"1980-09-01",290386
"1980-10-01",283822
"1980-11-01",284842
"1980-12-01",299500
"1981-01-01",339700
"1981-02-01",347400
"1981-03-01",325500
"1981-04-01",315200
"1981-05-01",314900
"1981-06-01",314500
"1981-07-01",313700
"1981-08-01",318500
"1981-09-01",306000
"1981-10-01",299500
"1981-11-01",289800
"1981-12-01",304700
"1982-01-01",351425
"1982-02-01",372288
"1982-03-01",358536
"1982-04-01",356004
"1982-05-01",375626
"1982-06-01",390664
"1982-07-01",404840
"1982-08-01",421856
"1982-09-01",446341
"1982-10-01",465959
"1982-11-01",493446
"1982-12-01",562592
"1983-01-01",601931
"1983-02-01",632837
"1983-03-01",622819
"1983-04-01",622162
"1983-05-01",633272
"1983-06-01",635002
"1983-07-01",634020
"1983-08-01",622103
"1983-09-01",610379
"1983-10-01",599100
"1983-11-01",591442
"1983-12-01",629214
"1984-01-01",674424
"1984-02-01",667059
"1984-03-01",626653
"1984-04-01",602100
"1984-05-01",600344
"1984-06-01",584506
"1984-07-01",580347
"1984-08-01",570553
"1984-09-01",565348
"1984-10-01",555279
"1984-11-01",552893
"1984-12-01",576900
"1985-01-01",636841
"1985-02-01",636342
"1985-03-01",599092
"1985-04-01",580700
"1985-05-01",568574
"1985-06-01",561400
"1985-07-01",553644
"1985-08-01",541022
"1985-09-01",534700
"1985-10-01",522587
"1985-11-01",520756
"1985-12-01",552300
"1986-01-01",609987
"1986-02-01",603156
"1986-03-01",578700
"1986-04-01",568400
"1986-05-01",569966
"1986-06-01",569761
"1986-07-01",573989
"1986-08-01",573735
"1986-09-01",566245
"1986-10-01",556055
"1986-11-01",540527
"1986-12-01",560166
"1987-01-01",623079
"1987-02-01",619978
"1987-03-01",592892
"1987-04-01",582102
"1987-05-01",561698
"1987-06-01",550850
"1987-07-01",536522
"1987-08-01",525650
"1987-09-01",515893
"1987-10-01",492248
"1987-11-01",481236
"1987-12-01",495772
"1988-01-01",517127
"1988-02-01",511023
"1988-03-01",493993
"1988-04-01",483400
"1988-05-01",481469
"1988-06-01",475070
"1988-07-01",472806
"1988-08-01",458767
"1988-09-01",441201
"1988-10-01",428578
"1988-11-01",419052
"1988-12-01",420900
"1989-01-01",448572
"1989-02-01",441100
"1989-03-01",409708
"1989-04-01",393323
"1989-05-01",391918
"1989-06-01",390001
"1989-07-01",383839
"1989-08-01",377968
"1989-09-01",368060
"1989-10-01",360246
"1989-11-01",357443
"1989-12-01",374530
"1990-01-01",385727
"1990-02-01",398961
"1990-03-01",390149
"1990-04-01",391108
"1990-05-01",411171
"1990-06-01",427931
"1990-07-01",441335
"1990-08-01",450824
"1990-09-01",452304
"1990-10-01",457658
"1990-11-01",480083
"1990-12-01",523798
"1991-01-01",567249
"1991-02-01",580777
"1991-03-01",596890
"1991-04-01",616326
"1991-05-01",647415
"1991-06-01",676706
"1991-07-01",701677
"1991-08-01",709801
"1991-09-01",718748
"1991-10-01",720754
"1991-11-01",730105
"1991-12-01",751348
"1992-01-01",779868
"1992-02-01",816124
"1992-03-01",818102
"1992-04-01",826297
"1992-05-01",838390
"1992-06-01",851831
"1992-07-01",856505
